mucho;mucho;no;mucho;si;mucho;si;si
mucho;medo;si;medio;no;poco;no;si
poco;medio;no;poco;si;poco;si;no
medio;mucho;si;medio;si;medio;no;si
medio;medio;si;mucho;no;medio;no;no
poco;poco;si;medio;si;mucho;si;no
mucho;poco;no;poco;no;poco;no;no
poco;mucho;si;mucho;si;poco;si;si
mucho;medio;si;medio;no;mucho;si;si
medio;medio;si;poco;no;medio;no;no
medio;medio;si;mucho;si;mucho;si;si
medio;mucho;no;medio;si;medio;no;si
medio;medio;si;medio;no;poco;si;no
poco;poco;si;poco;si;medio;no;no
poco;mucho;si;mucho;no;poco;si;si
mucho;medio;si;medio;si;mucho;si;si
medio;mucho;si;medio;no;poco;no;no
medio;mucho;si;poco;si;medio;si;si
medio;medio;no;mucho;no;medio;no;si
medio;medio;si;mucho;si;poco;no;no
medio;mucho;no;medio;no;mucho;si;si
medio;medio;si;poco;no;poco;no;no
poco;poco;si;mucho;si;medio;no;no
mucho;poco;no;medio;si;poco;si;no
poco;mucho;si;poco;no;medio;no;si
mucho;medio;si;medio;si;medio;no;si
mucho;mucho;si;mucho;no;mucho;si;si
poco;medio;no;medio;no;poco;no;no
medio;mucho;no;medio;si;poco;si;si
medio;medio;si;medio;si;medio;no;no
medio;mucho;no;poco;no;poco;no;no
poco;medio;no;medio;si;poco;no;no
medio;medio;no;poco;no;poco;no;no
poco;poco;no;medio;si;poco;no;no
medio;mucho;no;medio;no;medio;no;no
poco;mucho;si;mucho;no;poco;si;si
mucho;medio;si;medio;si;mucho;si;si
medio;mucho;si;medio;no;poco;no;no
medio;mucho;si;poco;si;mucho;si;si
medio;medio;no;mucho;no;medio;no;si
medio;medio;si;mucho;si;poco;no;no
medio;mucho;no;medio;no;mucho;si;si
medio;medio;si;poco;no;poco;no;no
poco;poco;si;mucho;si;medio;no;no
mucho;poco;no;medio;si;poco;si;no
poco;mucho;si;poco;no;mucho;no;si
mucho;medio;si;medio;si;medio;no;si
mucho;mucho;si;mucho;no;medio;si;si
medio;mucho;no;poco;no;poco;no;no
poco;medio;no;medio;si;poco;no;no
medio;medio;no;poco;no;poco;no;no
poco;poco;no;medio;si;poco;no;no
medio;mucho;no;medio;no;medio;no;no
poco;mucho;si;mucho;no;poco;si;si
mucho;medio;si;medio;si;mucho;si;si
medio;mucho;si;medio;no;poco;no;no
medio;mucho;si;poco;si;mucho;si;si
medio;medio;no;mucho;no;medio;no;si
medio;medio;no;mucho;no;medio;no;si
medio;mucho;si;medio;si;medio;no;si
medio;medio;si;mucho;no;medio;no;no
poco;poco;si;medio;si;mucho;si;no
mucho;poco;no;poco;no;poco;no;no
poco;mucho;si;mucho;si;poco;si;si
mucho;medio;si;medio;no;mucho;si;si
medio;medio;si;poco;no;medio;no;no
medio;medio;si;mucho;si;mucho;si;si
medio;mucho;no;medio;si;medio;no;si
medio;medio;si;medio;no;poco;si;no
poco;poco;si;poco;si;medio;no;no
poco;mucho;si;mucho;no;poco;si;si
mucho;medio;si;medio;si;mucho;si;si
medio;mucho;si;medio;no;poco;no;no
medio;mucho;si;poco;si;mucho;si;si
mucho;mucho;no;mucho;si;mucho;si;si
mucho;medo;si;medio;no;poco;no;si
poco;medio;no;poco;si;poco;si;no
medio;mucho;si;medio;si;medio;no;si
medio;medio;si;mucho;no;medio;no;no
poco;poco;si;medio;si;mucho;si;no
medio;medio;si;mucho;si;poco;no;no
medio;mucho;no;medio;no;mucho;si;si
medio;medio;si;poco;no;poco;no;no
poco;poco;si;mucho;si;medio;no;no
mucho;poco;no;medio;si;poco;si;no
poco;mucho;si;poco;no;mucho;no;si
mucho;medio;si;medio;si;medio;no;si
mucho;mucho;si;mucho;no;medio;si;si
medio;mucho;no;poco;no;poco;no;no
poco;medio;no;medio;si;poco;no;no
medio;medio;no;poco;no;poco;no;no
poco;poco;no;medio;si;poco;no;no
medio;mucho;no;medio;no;medio;no;no
poco;mucho;si;mucho;no;poco;si;si
mucho;medio;si;medio;si;mucho;si;si
medio;mucho;si;medio;no;poco;no;no
medio;mucho;si;poco;si;mucho;si;si
medio;medio;no;mucho;no;medio;no;si
medio;medio;no;poco;no;poco;no;no
poco;poco;no;medio;si;poco;no;no
