malo;no;mucho;si;si
medio;si;mucho;si;si
malo;no;poco;no;no
bueno;si;normal;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;si
bueno;si;mucho;no;si
medio;no;mucho;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
bueno;si;mucho;no;si
medio;no;normal;si;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
bueno;si;mucho;no;si
medio;no;normal;si;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
malo;no;mucho;si;si
medio;no;normal;si;si
malo;no;normal;no;si
medio;si;normal;no;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
malo;no;mucho;si;si
medio;no;mucho;si;si
malo;no;normal;no;si
medio;no;mucho;si;si
malo;no;normal;no;si
medio;si;normal;no;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
malo;no;mucho;si;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;normal;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
bueno;si;mucho;no;si
medio;no;normal;si;no
medio;no;mucho;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
bueno;si;mucho;no;si
medio;no;normal;si;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
malo;no;mucho;si;si
malo;no;mucho;si;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
bueno;si;mucho;no;si
medio;no;normal;si;no
medio;no;normal;si;si
medio;no;mucho;no;no
medio;si;mucho;no;si
poco;no;normal;si;si
bueno;si;poco;no;no
medio;no;poco;no;no
poco;no;normal;no;no
poco;no;mucho;si;no
poco;no;mucho;si;si
medio;no;mucho;no;no
